#labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,CostEst
1,1,1,32.9,18.0168,0.00997414,3.55386,0.1,-1
1,1,1,32.9,18.0168,0.00997414,3.55386,0.001,0
1,1,1,32.9,18.0168,0.00997414,3.55386,0.01,0
1,1,1,28.07,14.5979,0.0476121,2.52593,0.01,1
1,1,1,28.07,14.5979,0.0476121,2.52593,0.005,0
1,1,1,28.07,14.5979,0.0476121,2.52593,0.075,-1
1,1,1,28.07,14.5979,0.0476121,2.52593,0.001,0
1,1,1,28.07,14.5979,0.0476121,2.52593,0.025,1
1,1,1,28.07,14.5979,0.0476121,2.52593,0.05,-1
1,1,1,28.07,14.5979,0.0476121,2.52593,0.1,-1
1,1,1,28.07,14.5979,0.0476121,2.52593,0,0
1,1,1,62.1,34.9952,0.00218065,3.80119,0.001,0
1,1,1,62.1,34.9952,0.00218065,3.80119,0.075,-1
1,1,1,62.1,34.9952,0.00218065,3.80119,0,0
1,1,1,62.1,34.9952,0.00218065,3.80119,0.025,1
1,1,1,62.1,34.9952,0.00218065,3.80119,0.05,-1
1,1,1,62.1,34.9952,0.00218065,3.80119,0.1,-1
1,1,1,62.1,34.9952,0.00218065,3.80119,0.005,0
1,1,1,62.1,34.9952,0.00218065,3.80119,0.01,0
1,1,1,5.74,3.54859,0.165312,2.45763,0.075,-1
1,1,1,5.74,3.54859,0.165312,2.45763,0,0
1,1,1,5.74,3.54859,0.165312,2.45763,0.001,0
1,1,1,5.74,3.54859,0.165312,2.45763,0.05,-1
1,1,1,5.74,3.54859,0.165312,2.45763,0.1,-1
1,1,1,5.74,3.54859,0.165312,2.45763,0.005,0
1,1,1,5.74,3.54859,0.165312,2.45763,0.01,1
1,1,1,5.74,3.54859,0.165312,2.45763,0.025,1
1,1,1,45.2,23.4825,0.0128457,3.33279,0.075,-1
1,1,1,45.2,23.4825,0.0128457,3.33279,0.01,0
1,1,1,45.2,23.4825,0.0128457,3.33279,0.05,-1
1,1,1,45.2,23.4825,0.0128457,3.33279,0.025,1
1,1,1,45.2,23.4825,0.0128457,3.33279,0.1,-1
1,1,1,45.2,23.4825,0.0128457,3.33279,0,0
1,1,1,45.2,23.4825,0.0128457,3.33279,0.001,0
1,1,1,45.2,23.4825,0.0128457,3.33279,0.005,0
1,1,1,100,53.3072,0.00136237,3.82416,0.075,-1
1,1,1,100,53.3072,0.00136237,3.82416,0.001,0
1,1,1,100,53.3072,0.00136237,3.82416,0,0
1,1,1,100,53.3072,0.00136237,3.82416,0.05,-1
1,1,1,100,53.3072,0.00136237,3.82416,0.01,0
1,1,1,100,53.3072,0.00136237,3.82416,0.1,-1
1,1,1,100,53.3072,0.00136237,3.82416,0.025,1
1,1,1,100,53.3072,0.00136237,3.82416,0.005,0
1,1,1,3.04,2.43756,0.245074,2.26488,0.001,0
1,1,1,3.04,2.43756,0.245074,2.26488,0.075,-1
1,1,1,3.04,2.43756,0.245074,2.26488,0.005,0
1,1,1,3.04,2.43756,0.245074,2.26488,0,1
1,1,1,3.04,2.43756,0.245074,2.26488,0.025,1
